,Ratings,Date,Country,New_Reviews
0,5,12th November 2023,Romania,trip verifi book flight bucharest manchest h layov heathrow flight delay bucharest atc strike arriv heathrow minut later schedul still enough time catch connect flight unfortun strand plane wait long time disembark plane due lack staff slot shortag common problem ba heathrow miss connect flight delay told wait night freez airport first flight next day shame food voucher joke consid ridicul price lhr accommod offer sleep cold airport ask compens sent long text lame excus sorri not compens anyth imagin worst airlin ba regard custom care not money rather way treat custom last time lifetim fli joke airlin
1,1,8th November 2023,United Kingdom,trip verifi book onlin month ago hitch replac aircraft mean chosen seat differ inform prior departur could amend bag drop man smooth suspect man fault shuttl board slow delay mean rush lhr flight cpt full left less time cabin clean pe expect suffici leg arm room plu littl perk drink complaint seat actual reclin far staff good first hour servic especi georg food quit tasti one option load breakfast also quit tasti land time fli ointment case arriv late carousel later notic broken like cpt pleasant surpris
2,8,7th November 2023,United Kingdom,trip verifi flight time crew polit stori outward flight find ba europ gener pretti good though regret substitut prosecco champagn list drink buy economi mani complaint ba airlin revolv around lost luggag never check bag even long trip
3,7,5th November 2023,Italy,not verifi angri disappoint unsatisfi rout london atlanta suitcas not board therefor not land comfort safeti reason bag alway fli passeng not happen claim phone call made desk assist answer question unprofession miser certainli left noth backpack contain not snack neither cloth anyth els ever provid apolog meanwhil also told bag would deliv next hour also not happen british airway great airlin fli organ come custom servic poor uncertain still wait bag
4,2,5th November 2023,United Kingdom,trip verifi infrequ flyer british airway alway first choic reassur comfort servic qualiti luggag allow etc fact never flown budget airlin recent flight chang view caus reflect actual get money ba flight around hour delay way cabin ground staff servic ok facil lack disappoint flight approx half hour thing offer half cup water pour bite size banana slice cake fact return journey even offer water top ba longer media screen select someth pass time away even obligatori flight journey wifi poor even access shop howev fee much avail explain ba record profit bn question pay sure opt budget airlin transpar offer pay decid choos not ba stand basic airway go elsewher get basic cheaper
5,3,4th November 2023,Ireland,not verifi total unremark flight time comfort european configur goe cater due storm effect greatli exagger advis email euro provid not easi use loung made loss
6,8,31st October 2023,United States,trip verifi ground crew heathrow left passeng luggag bag heathrow ground crew left behind st two receiv next day heathrow ground crew lost rd bag time phone hr cours week due spend health beauti item wife cruis british airway said might reimburs month spend cab fare barcelona bacelona ground crew iberia claim deliv us heathrow ground crew made us minut late arriv back heathrow cruis actual land minut earli incompet peopl still not readi us heathrow ground crew caus us leav minut late even though passeng board readi minut departur time probabl mean miss connect anchorag ba clearli not care know oper ground base shame ba joke embarrass oper like normal airlin not grasp concept even small hiccup caus mass rippl chao peopl
7,1,28th October 2023,United Kingdom,trip verifi london heathrow gibraltar th octob shall start refer book process use ba websit reserv seat food websit easi use clear everi aspect flight due depart termin passeng buss good minut differ part airport aircraft stand board flight cabin crew kept low profil maintain entir flight captain made brief announc flight flight entertain seat clean comfort enough short flight lack cater overt tini bottl water ined breakfast bar one use onlin system order even drink cours pay passeng next could not use onlin system doe not seem work cabin refus sell coffe fault moreov usb charg point not work either given earli hour flight poor show not even sale item avail trolley servic system ba place not good enough flight arriv time disembark ineffici though poorli manag crew not seen crew wear new ba uniform seem reflect downward trend airlin candid differ ba servic call budget rival rout ba monopoli not option use servic differ compani
8,6,24th October 2023,United States,trip verifi first time fli british airway would not hesit fli economi flight attend pleasant effici excel special meal low sodium comfort space economi one better flight
9,8,23rd October 2023,United Kingdom,not verifi flew london cairo return octob basic perfectli good pair flight economi pleasant profession cabin crew especi return journey tall problem legroom back plane seat ok get littl numb hour return rather good includ snack box drink welcom howev must said valu money poor check bag return leg nearli ticket although content pass time read sleep surpris find flight entertain hour flight howev overal would still recommend ba would even enthusiast sensibl price
10,7,22nd October 2023,United States,not verifi absolut worst experi ever flew heathrow problem wait hour three extra hour connect porto cancel flight scrambl hotel new flight next day rout us madrid next morn flight hour late miss connect porto miss connect fault cancel return flight two hour phone custom servic madrid airport book us new return flight made pay fli madrid porto reason cancel return flight hour hour hour custom servic final got return flight five day origin return flight meanwhil lost wife luggag final got day lost return flight problem reserv point british airway help left onu us fix mistak everi turn complet ruin three week vacat care even let us speak supervisor manag aw border passeng abus
11,1,22nd October 2023,United Kingdom,not verifi flew back malta scatter son ash favourit spot board aircraft return flight wife becam upset member cabin crew notic immedi spoke wife tri reassur name tracey except crew member notic spoke travel courteou manner friendli time pass wife ask would like anyth kind made difficult time easier us aircraft seat comfort servic good hr min flight thank b
12,8,21st October 2023,Netherlands,not verifi cabin luggag go cargo even said carri medicin time get hand luggag economi seat virgin atlant klm even ryanair space luckili short flight
13,3,21st October 2023,United Kingdom,trip verifi use ba averag cannot say pretti satisfi ba somehow experi cancel delay time second flight servic usual weak food portion small cabin crew not help especi come drink request screen renew full scratch size especi longer flight entertain system becom import also welcom packag except pillow small blanket would expect ba fli us anywher except uk would recommend consid airlin fli uk directli ba could one choic
14,4,19th October 2023,United Kingdom,trip verifi flew istanbul london busi class half flight child watch ipad loud phone plug three row front disrupt flight could hear headphon staff thought fine refus tell mom turn accept flight especi busi class airlin turn zoo staff given train custom servic child allow disrupt passeng told staff laugh ba custom servic disgrac not even mention food bad realli bad
15,1,19th October 2023,United States,not verifi flow ba sever time sinc airlin start non stop servic austin tx london heathrow everi year servic get wors brought tape measur see far apart seat economi section inch ba remov bathroom order squeez row seat onto aircraft thank not big person abl squeez seat without uncomfort ba first start fli austin food great arriv heathrow get real food take plane know make ba food not eatabl ba not direct flight hometown london would fli differ airlin check heathrow line extrem long one person check peopl took nearli hour get counter understand airlin make record profit need make lost revenu pandem think ba gone far littl concern custom servic pursuit profit
16,1,17th October 2023,United Kingdom,trip verifi flight depart hour late due late inbound plane plane full half economi class passeng forc check larger cabin baggag gate board make complet mockeri hand luggag allow advertis lot passeng board stress miss onward connect due delay miss next gate close time disembark heathrow onboard servic ok minim ba gave full servic airlin time ago concern tri get hold custom servic make chang book deal problem non exist airlin seem make deliber hard custom contact
17,1,17th October 2023,United States,trip verifi hate british airway get london oct next flight cancel stand line peopl get fix tell everyon leav airport call fix book us next day via onlin offer voucher hotel miss tour tri get home istanbul plane start load hour ago explan may miss next flight never travel problem april flight
18,1,16th October 2023,United Kingdom,trip verifi ba flight porto london heathrow oper finnair use finnair plane crew advis ba shortli book option chang flight prefer although busi class cabin similar layout ba club europ e middl seat kept free wife felt seat comfort legroom slightli better servic good board meal tasti chose beef cheek good land heathrow although pass passport control without delay design baggag reclaim wait wait hour ten minut went ba baggag counter ask go seem unawar issu said would find next hour variou passeng also request inform despit variou announc list differ excus almost hour bag final arriv frustrat say least subsequ complain ba week explan autom messag custom servic experienc except high volum respons say lot
19,5,14th October 2023,United Kingdom,trip verifi custom servic call centr etc atroci sometim callou care long wait speak anybodi power actual solv anyth call cut halfway without resolut anyway flight cancel origin one realli left nobodi care onboard servic short haul semi low cost confus never know expect time given bottl water small snack whilst anyth els paid yet flight appar pre order addit food confus make not depend cabin baggag theori gener compar competitor economi ask half passeng flight check cabin baggag gate due lack space overhead cabin lead long board delay whole offer thought well usb power suppli not work throughout flight contrari announc power avail seatbelt sight turn pointless provid socket first place not first choic airlin rout tri use avio point total abandon fail see deem star airlin
20,3,14th October 2023,United Kingdom,trip verifi frequent flyer ba last year note rate given frankli cannot understand ba score three star aspect servic nutshel ba place profit margin passeng appreci fact hammer home return leg not club europ quit alarmingli ba appear place profit passeng safeti extend busi class seat beyond emerg exit row fail ensur seat exit row physic capac actual open door incas emerg not reassur see elderli slightli built woman seat respons open overw exit need arisen short haul busi club europ simpli joke use gain valuabl tier point loung pre board benefit cabin crew servic excel lack space reduct refresh choic etc place million air mile behind compet airlin qatar turkish emir understand true definit custom appreci hospit ba consist erod valu execut club seem impress recent chang obtain avio point book process benefit passeng realli want support ba enjoy fli point start penni pinch becam deserv name budget airway attach photo take recent itinerari highlight differ custom care appreci british airway anoth airlin use trip flight around hour durat day guess one show ba flight offer
21,5,12th October 2023,United Kingdom,not verifi flew ba punta cana took troubl reserv seat outbound inbound flight board gatwick realis move much less good seat peopl sit seat spent lot money reserv appar chang aircraft number passeng automat realloc seat particular reason crew said noth could although cours could swap us coupl use seat told claim refund return home via complaint form ns ba offer us voucher accept less cost seat also natur want money back eventu got not without fight second rate shoddi airlin
22,4,12th October 2023,Australia,trip verifi downgrad busi premium economi took three month get back offer pound aud differ busi class premium economi never fli aud differ economi busi aud owe least pound fair pound downgrad insult incred pain recent cancer oper back injuri point need lie wait get around numb insult offer slap face continu degrad peopl dealt airport earth honest hard work peopl actual staff plane warm friendli help system ba oper sort mediev tortur
